,PLAYER,TEAM,AGE,GP,W,L,MIN,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,AST RATIO,OREB%,DREB%,REB%,TO RATIO,EFG%,TS%,USG%,PACE,PIE
,Wilson Chandler,DEN,30,71,35,36,30.9,110.1,111.8,-1.7,9.7,1.24,11,5.2,17.8,11.5,8.9,52,54.5,22.1,100.43,9.8
,Devin Harris,DAL,34,65,29,36,16.7,105.5,103.4,2.1,19.7,2.39,23,1.1,12.6,6.7,9.6,48.4,54.9,19.4,95.46,9.5
,Dirk Nowitzki,DAL,39,54,23,31,26.4,104.8,106.5,-1.7,9.9,1.61,9.5,1.8,26.7,14,5.9,49.5,52.9,25.5,96.06,12.4
,Dorian Finney-Smith,DAL,24,81,33,48,20.3,104.1,105.6,-1.4,6.1,1.49,14.2,3.7,12.4,7.9,9.5,45.6,48.6,11.7,93.28,4.9
,Dwight Powell,DAL,25,77,30,47,17.3,104.2,110.6,-6.4,6.2,1.44,9.4,7.7,20.2,13.5,6.5,54.2,58.8,16.6,93.78,10.7
,Harrison Barnes,DAL,25,79,32,47,35.5,103.6,105.7,-2.1,7.6,1.14,7.2,3.7,13.2,8.2,6.3,49.8,54.1,25.5,93.9,11.2
,J.J. Barea,DAL,33,35,11,24,22,104.6,102.8,1.8,42.1,3.06,31.1,1.3,11.7,6.4,10.1,49.1,52.1,26.1,95.14,13.4
,Nerlens Noel,DAL,23,51,24,27,20.5,103,105.5,-2.6,7.8,0.98,10.9,10,22.5,16.1,11.1,59.5,62.2,17.6,98.69,12.7
,Seth Curry,DAL,26,70,30,40,29,104.9,105.6,-0.7,15.9,2.05,18.4,1.4,9.5,5.2,8.9,57.8,60.1,19.7,93.53,10.3
,Wesley Matthews,DAL,30,73,29,44,34.2,103.3,106.8,-3.5,13.8,2.06,17,0.8,11.7,6,8.2,49.6,53.3,19.6,94.04,8.1
,Yogi Ferrell,DAL,24,46,18,28,26,104.2,108.3,-4.1,23.2,2.46,25.5,1.8,9.1,5.3,10.4,49.2,53.3,19.6,95.91,8.4
,Andrew Bogut,CLE,32,27,8,19,21.6,95.7,97.4,-1.7,13.3,1.14,27.6,10.3,32,20.7,24.2,46.9,46,10.6,93.14,9.2
,Channing Frye,CLE,34,74,44,30,18.9,110.1,109,1,5,0.85,6.9,3.1,19,11.4,8.1,58.9,61.2,19.6,98.14,10.1
,Deron Williams,CLE,33,64,25,39,25.9,104.7,107.5,-2.8,35,2.61,31.4,0.9,9.6,5.1,12,50.9,54.1,22.4,94.28,10
